名字:闻香识女人    分数:9.1    制片国家:美国    上映日期:1992-12-23    导演:马丁·布莱斯特    编剧:博·古德曼 / 乔瓦尼·阿尔皮诺    主演:阿尔·帕西诺 / 克里斯·奥唐纳 / 詹姆斯·瑞布霍恩 / 加布里埃尔·安瓦尔 / 菲利普·塞默·霍夫曼 / 更多...    类型:/剧情    评论数::660996    五星比例:61.3%    四星比例:31.8%    三星比例:6.3%    二星比例:0.4%    一星比例:0.1%    
名字:罗马假日    分数:9.0    制片国家:美国    上映日期:1953-08-20    导演:威廉·惠勒    编剧:伊安·麦克莱伦·亨特 / 约翰·戴顿 / 达尔顿·特朗勃    主演:奥黛丽·赫本 / 格利高里·派克 / 埃迪·艾伯特 / 哈特利·鲍尔 / 哈考特·威廉姆斯 / 更多...    类型:/剧情/喜剧/爱情    评论数::754576    五星比例:59.3%    四星比例:33.6%    三星比例:6.8%    二星比例:0.3%    一星比例:0.1%    
名字:天堂电影院    分数:9.2    制片国家:意大利 / 法国    上映日期:1988-11-17    导演:朱塞佩·托纳多雷    编剧:朱塞佩·托纳多雷 / 瓦娜·波利 / 理查德·埃帕卡    主演:菲利普·努瓦雷 / 雅克·贝汉 / 马克·莱昂纳蒂 / 萨瓦特利·卡西欧 / 莱奥波多·特里耶斯泰 / 更多...    类型:/剧情/爱情    评论数::502767    五星比例:65.6%    四星比例:28.5%    三星比例:5.4%    二星比例:0.4%    一星比例:0.1%    
名字:辩护人    分数:9.2    制片国家:韩国    上映日期:2013-12-18    导演:杨宇硕    编剧:杨宇硕 / 尹贤浩    主演:宋康昊 / 金英爱 / 吴达洙 / 郭度沅 / 任时完 / 更多...    类型:/剧情    评论数::473126    五星比例:66.4%    四星比例:28.9%    三星比例:4.4%    二星比例:0.2%    一星比例:0.1%    
名字:搏击俱乐部    分数:9.0    制片国家:美国 / 德国 / 意大利    上映日期:1999-09-10    导演:大卫·芬奇    编剧:恰克·帕拉尼克 / 吉姆·乌尔斯    主演:爱德华·诺顿 / 布拉德·皮特 / 海伦娜·伯翰·卡特 / 扎克·格雷尼尔 / 米特·洛夫 / 更多...    类型:/剧情/动作/悬疑/惊悚    评论数::671564    五星比例:61.4%    四星比例:30.4%    三星比例:7.2%    二星比例:0.7%    一星比例:0.3%    
名字:猫鼠游戏    分数:9.0    制片国家:美国 / 加拿大    上映日期:2003-04-11    导演:史蒂文·斯皮尔伯格    编剧:杰夫·内桑森    主演:莱昂纳多·迪卡普里奥 / 汤姆·汉克斯 / 克里斯托弗·沃肯 / 马丁·辛 / 艾米·亚当斯 / 更多...    类型:/剧情/传记/犯罪    评论数::659353    五星比例:57.9%    四星比例:36.0%    三星比例:5.7%    二星比例:0.3%    一星比例:0.0%    
名字:大闹天宫    分数:9.4    制片国家:中国大陆    上映日期:1961(中国大陆)    导演:万籁鸣 / 唐澄    编剧:李克弱 / 万籁鸣    主演:邱岳峰 / 富润生 / 毕克 / 尚华 / 于鼎 / 更多...    类型:/动画/奇幻    评论数::312115    五星比例:73.0%    四星比例:22.1%    三星比例:4.4%    二星比例:0.3%    一星比例:0.2%    
名字:教父2    分数:9.2    制片国家:美国    上映日期:1974-12-12    导演:弗朗西斯·福特·科波拉    编剧:弗朗西斯·福特·科波拉 / 马里奥·普佐    主演:阿尔·帕西诺 / 罗伯特·杜瓦尔 / 黛安·基顿 / 罗伯特·德尼罗 / 约翰·凯泽尔 / 更多...    类型:/剧情/犯罪    评论数::405000    五星比例:66.8%    四星比例:27.9%    三星比例:4.9%    二星比例:0.3%    一星比例:0.1%    
名字:狮子王    分数:9.0    制片国家:美国    上映日期:1995-07-15    导演:罗杰·阿勒斯 / 罗伯·明可夫    编剧:艾琳·梅琪 / 乔纳森·罗伯特 / 琳达·伍尔芙顿    主演:乔纳森·泰勒·托马斯 / 马修·布罗德里克 / 杰瑞米·艾恩斯 / 詹姆斯·厄尔·琼斯 / 莫伊拉·凯利 / 更多...    类型:/动画/歌舞/冒险    评论数::633513    五星比例:59.6%    四星比例:33.3%    三星比例:6.7%    二星比例:0.3%    一星比例:0.1%    
名字:指环王2：双塔奇兵    分数:9.1    制片国家:美国 / 新西兰    上映日期:2003-04-25    导演:彼得·杰克逊    编剧:弗兰·威尔士 / 菲利帕·鲍恩斯 / 斯蒂芬·辛克莱 / 彼得·杰克逊 / J·R·R·托尔金    主演:伊利亚·伍德 / 西恩·奥斯汀 / 多米尼克·莫纳汉 / 奥兰多·布鲁姆 / 维果·莫腾森 / 更多...    类型:/剧情/动作/奇幻/冒险    评论数::535601    五星比例:63.0%    四星比例:29.9%    三星比例:6.6%    二星比例:0.4%    一星比例:0.1%    
名字:死亡诗社    分数:9.1    制片国家:美国    上映日期:1989-06-02    导演:彼得·威尔    编剧:汤姆·舒尔曼    主演:罗宾·威廉姆斯 / 罗伯特·肖恩·莱纳德 / 伊桑·霍克 / 乔西·查尔斯 / 盖尔·汉森 / 更多...    类型:/剧情    评论数::537055    五星比例:62.8%    四星比例:30.1%    三星比例:6.4%    二星比例:0.5%    一星比例:0.2%    
